,Name,Year,Value,Area,Area_Percentage
337,BOY_oh_Ki,2017,9011,50.25,1.198163055
338,BOY_oh_Ki,2017,9012,303.46,7.235712651
339,BOY_oh_Ki,2017,9018,209,4.983404548
340,BOY_oh_Ki,2017,9020,286.26,6.825595147
341,BOY_oh_Ki,2017,9023,888.7,21.19019915
342,BOY_oh_Ki,2017,9024,0.08,0.001907523
343,BOY_oh_Ki,2017,9025,100.89,2.405625286
344,BOY_oh_Ki,2017,9029,4.15,0.09895277
345,BOY_oh_Ki,2018,115,51.72,1.233213795
346,BOY_oh_Ki,2018,121,8.37,0.199574622
347,BOY_oh_Ki,2018,131,116.19,2.770439112
348,BOY_oh_Ki,2018,171,69.78,1.663837174
349,BOY_oh_Ki,2018,411,336.37,8.020420037
350,BOY_oh_Ki,2018,459,365.97,8.726203647
351,BOY_oh_Ki,2018,602,26.76,0.638066534
352,BOY_oh_Ki,2018,9001,29.83,0.71126774
353,BOY_oh_Ki,2018,9002,1084.13,25.85004006
354,BOY_oh_Ki,2018,9003,162.13,3.865834351
355,BOY_oh_Ki,2018,9007,6.19,0.147594613
356,BOY_oh_Ki,2018,9008,49.43,1.178610942
357,BOY_oh_Ki,2018,9010,35.4,0.844079048
358,BOY_oh_Ki,2018,9011,50.25,1.198163055
359,BOY_oh_Ki,2018,9012,309.72,7.384976347
360,BOY_oh_Ki,2018,9018,213.75,5.096663742
361,BOY_oh_Ki,2018,9020,283.77,6.766223485
362,BOY_oh_Ki,2018,9023,889.04,21.19830612
363,BOY_oh_Ki,2018,9024,0.08,0.001907523
364,BOY_oh_Ki,2018,9025,100.89,2.405625286
365,BOY_oh_Ki,2018,9029,4.15,0.09895277
366,BOY_oh_Ki,2019,115,50.59,1.206270029
367,BOY_oh_Ki,2019,121,17.7,0.422039524
368,BOY_oh_Ki,2019,131,113.75,2.712259652
369,BOY_oh_Ki,2019,171,61.12,1.45734778
370,BOY_oh_Ki,2019,411,347.79,8.292718984
371,BOY_oh_Ki,2019,459,371.39,8.855438349
372,BOY_oh_Ki,2019,602,29.12,0.694338471
373,BOY_oh_Ki,2019,9001,29.83,0.71126774
374,BOY_oh_Ki,2019,9002,1084.49,25.85862391
375,BOY_oh_Ki,2019,9003,162.13,3.865834351
376,BOY_oh_Ki,2019,9007,6.19,0.147594613
377,BOY_oh_Ki,2019,9008,49.43,1.178610942
378,BOY_oh_Ki,2019,9010,36.17,0.862438959
379,BOY_oh_Ki,2019,9011,50.25,1.198163055
380,BOY_oh_Ki,2019,9012,308.78,7.362562948
381,BOY_oh_Ki,2019,9018,211.94,5.053506028
382,BOY_oh_Ki,2019,9020,269.09,6.416192965
383,BOY_oh_Ki,2019,9023,889.04,21.19830612
384,BOY_oh_Ki,2019,9024,0.08,0.001907523
