"stream","catchment","type","replicate","date_deployment","time_deployment","date_sampled","time_sampled","bag_ID","no_disks_DNA","no_disks_FA","no_disks_SIA","no_disks_OMD","no_disks_all","rest_60_g","rest_500_g","OMD_60_mg","OMD_500_mg","comments","deployment_duration_days","LandUse","initial_mass_g","perc_60","perc_500","AFDM_start","rest_AFDM","afdm_all_disks","AFDM_end","water_temp","deg_days","k","total_abundance","oxygen_dissolved","conductivity"
"KIN4","Kinzig","coarse","rep 1",2025-03-10,"14:06",2025-03-27,"12:37","L315",1,0,0,2,3,1.357,0.214,6.19,1.08,"",17,"rural",3.525,0.91228325487691,0.0476630928962099,3.0478,1.143,0.0072,1.1502,9.5,161.5,0.00603,12,11,438
"KIN4","Kinzig","coarse","rep 2",2025-03-10,"14:08",2025-03-27,"12:39","L210",1,0,0,2,3,0.754,0.086,0,0,"Significant leaf consumption by macroinvertebrates observed",17,"rural",3.523,0.91228325487691,0.0476630928962099,3.0461,0.668,0.0072,0.6752,9.5,161.5,0.00933,8,11,438
"KIN4","Kinzig","coarse","rep 3",2025-03-10,"14:10",2025-03-27,"12:40","L053",0,0,0,0,0,0.472,0.043,0,0,"Significant leaf consumption by macroinvertebrates observed",17,"rural",3.504,0.91228325487691,0.0476630928962099,3.0296,0.429,0,0.429,9.5,161.5,0.0121,21,11,438
"KRE1","Kinzig","fine","rep 1",2025-03-10,"11:57",2025-03-29,"12:00","627",1,3,4,5,13,2.632,0.544,21.55,3.68,"",19,"urban",3.494,0.854017522637833,0.0453407045534041,2.8255,2.088,0.0311,2.1191,9.6,182.4,0.00158,83,12.1,831
"KRE1","Kinzig","fine","rep 2",2025-03-10,"11:59",2025-03-29,"12:02","149",1,3,4,5,13,2.427,0.424,17.98,2.7,"",19,"urban",3.451,0.854017522637833,0.0453407045534041,2.7907,2.003,0.0311,2.0341,9.6,182.4,0.00173,82,12.1,831
"KRE1","Kinzig","fine","rep 3",2025-03-10,"12:01",2025-03-29,"12:03","594",1,3,4,5,13,2.869,0.781,14.38,2.17,"",19,"urban",3.495,0.854017522637833,0.0453407045534041,2.8263,2.088,0.0311,2.1191,9.6,182.4,0.00158,98,12.1,831
"KRE1","Kinzig","coarse","rep 1",2025-03-10,"12:03",2025-03-29,"12:06","L158",1,0,0,4,5,0.777,0.068,12.1,0.84,"",19,"urban",3.527,0.91228325487691,0.0476630928962099,3.0495,0.709,0.012,0.721,9.6,182.4,0.00791,83,12.1,831
"KRE1","Kinzig","coarse","rep 2",2025-03-10,"12:05",2025-03-29,"12:08","L088",1,0,0,1,2,0.622,0.074,2.83,0.23,"",19,"urban",3.467,0.91228325487691,0.0476630928962099,2.9976,0.548,0.0048,0.5528,9.6,182.4,0.00927,82,12.1,831
"KRE1","Kinzig","coarse","rep 3",2025-03-10,"12:07",2025-03-29,"12:10","L047",0,0,0,0,0,0.778,0.071,0,0,"no measurable material for analysis.",19,"urban",3.528,0.91228325487691,0.0476630928962099,3.0504,0.707,0,0.707,9.6,182.4,0.00802,98,12.1,831
"KRE2","Kinzig","fine","rep 1",2025-03-10,"11:00",2025-03-29,"10:00","650",1,3,4,5,13,2.13,0.233,15.53,1.55,"",19,"rural",3.516,0.854017522637833,0.0453407045534041,2.8433,1.897,0.0311,1.9281,9.3,176.7,0.0022,100,10.8,839
